"contents href","_image_yazkc_11 src","whitespace-normal","font-medium 2","h-4","pointer-events-none src","inline-block","truncate 2"
"https://shopee.co.id/EIGER-WS-MINORCA-SANDALS-i.19260065.19773252690?extraParams=%7B%22display_model_id%22%3A234215589600%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7rbk5-m9e4znh1ioeaf3","EIGER WS MINORCA SANDALS","211.300","-32%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","2RB+ terjual"
"https://shopee.co.id/EIGER-WOMEN-PACCHANTA-ROLL-SANDALS-i.19260065.26376457131?extraParams=%7B%22display_model_id%22%3A237382235827%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7rbk9-m6cadbi5u3dkbc","EIGER WOMEN PACCHANTA ROLL SANDALS","294.000","-2%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","4RB+ terjual"
"https://shopee.co.id/EIGER-CUSCO-ROLL-STRAP-SANDALS-i.19260065.28325899459?extraParams=%7B%22display_model_id%22%3A176961834489%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7rasl-m64tt3cpe9wd23","EIGER CUSCO ROLL STRAP SANDALS","284.000","-2%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","781 terjual"
"https://shopee.co.id/EIGER-MAMBA-MID-SHOES-i.19260065.23356379815?extraParams=%7B%22display_model_id%22%3A79703941373%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7r990-lm8n28wy06mm0c","EIGER MAMBA MID SHOES","1.016.300","-35%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","391 terjual"
"https://shopee.co.id/EIGER-MOZAMBIQUE-WS-SANDALS-i.19260065.3592100203?extraParams=%7B%22display_model_id%22%3A245751214711%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/e6543c0b147995d4930669aa87d59f00","EIGER MOZAMBIQUE WS SANDALS","324.000","-2%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","7RB+ terjual"
"https://shopee.co.id/EIGER-WS-SHIKRA-SL-SHOES-i.19260065.27410724178?extraParams=%7B%22display_model_id%22%3A241559988607%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wn-mlxanw4rdmv539","EIGER WS SHIKRA SL SHOES","1.174.000","-6%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","927 terjual"
"https://shopee.co.id/EIGER-COFETE-WS-1.0-SANDALS-i.19260065.14905426289?extraParams=%7B%22display_model_id%22%3A59536115128%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/38d9ffe1652a62e8a0661e2667b5474c","EIGER COFETE WS 1.0 SANDALS","139.000","","","4.9","3RB+ terjual"
"https://shopee.co.id/EIGER-WS-PEDAUH-MID-CUT-SHOES-i.19260065.20883812207?extraParams=%7B%22display_model_id%22%3A138217380582%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7rbk2-m6c0grwksh3s15","EIGER WS PEDAUH MID CUT SHOES","694.000","-3%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","423 terjual"
"https://shopee.co.id/EIGER-LANZAROTE-SANDALS-i.19260065.9110771158?extraParams=%7B%22display_model_id%22%3A24117870715%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/884c32094688937e12dd109bf058377d","EIGER LANZAROTE SANDALS","156.100","-13%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.8","10RB+ terjual"
"https://shopee.co.id/EIGER-KINKAJOU-PINCH-2.0-SANDALS-i.19260065.5975866348?extraParams=%7B%22display_model_id%22%3A53321863152%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/15829e79e8e5e82b4f3ab0628c55081f","EIGER KINKAJOU PINCH 2.0 SANDALS","210.100","-12%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","10RB+ terjual"
"https://shopee.co.id/EIGER-GOTLAND-ROLL-STRAP-SANDALS-i.19260065.25694189981?extraParams=%7B%22display_model_id%22%3A258211764254%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7rbkc-m8otmfl2xij543","EIGER GOTLAND ROLL STRAP SANDALS","374.000","-4%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","5.0","854 terjual"
"https://shopee.co.id/EIGER-RAS-DASHEN-SHOES-i.19260065.22068133657?extraParams=%7B%22display_model_id%22%3A194299912488%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7qul7-lgvw05b8ykqa61","EIGER RAS DASHEN SHOES","520.300","-33%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","418 terjual"
"https://shopee.co.id/EIGER-TROCADERO-OLEANDER-2.0-SANDALS-i.19260065.10626101940?extraParams=%7B%22display_model_id%22%3A111424462243%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/02dc576ff562b55600403db2fb5d2133","EIGER TROCADERO OLEANDER 2.0 SANDALS","264.000","-2%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","5RB+ terjual"
"https://shopee.co.id/EIGER-WAGLERI-MID-SHOES-i.19260065.18091197557?extraParams=%7B%22display_model_id%22%3A231844632014%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7qul5-ljm4s2aq5smi79","EIGER WAGLERI MID SHOES","775.782","-34%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","922 terjual"
"https://shopee.co.id/EIGER-STINGRAY-1.0-SHOES-i.19260065.15496017491?extraParams=%7B%22display_model_id%22%3A230668465253%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7ra0q-mck1ranivrbs40","EIGER STINGRAY 1.0 SHOES","939.100","-15%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","1RB+ terjual"
"https://shopee.co.id/EIGER-WS-GEVA-SLIP-ON-SHOES-i.19260065.29020138319?extraParams=%7B%22display_model_id%22%3A205625829183%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7rash-m3k72mhd1iarbd","EIGER WS GEVA SLIP ON SHOES","724.000","-3%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","209 terjual"
"https://shopee.co.id/EIGER-MAMBA-LOW-SHOES-i.19260065.18184732422?extraParams=%7B%22display_model_id%22%3A204619499844%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7r992-lm8n28wdy6r8d0","EIGER MAMBA LOW SHOES","949.809","-35%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","919 terjual"
"https://shopee.co.id/EIGER-MOZAMBIQUE-MEN-SANDALS-i.19260065.8076983526?extraParams=%7B%22display_model_id%22%3A250089915224%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/458cd2bf3c5afc68eca6552b3c91d1df","EIGER MOZAMBIQUE MEN SANDALS","264.100","-12%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","4RB+ terjual"
"https://shopee.co.id/EIGER-CALDERA-PINCH-2.0-SANDALS-i.19260065.8786626803?extraParams=%7B%22display_model_id%22%3A46802213228%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/c910f46e0003e8872da808463bd3e180","EIGER CALDERA PINCH 2.0 SANDALS","228.100","-12%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","10RB+ terjual"
"https://shopee.co.id/EIGER-JR-FINLAND-PRE-SCHOOL-SHOES-KIDS-i.19260065.22664695827?extraParams=%7B%22display_model_id%22%3A197593391182%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7r98o-lwp41bvyglsrca","EIGER JR FINLAND PRE SCHOOL SHOES KIDS","344.300","-31%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","5.0","89 terjual"
"https://shopee.co.id/EIGER-SALVAGE-SLIP-ON-SHOES-i.19260065.25929687062?extraParams=%7B%22display_model_id%22%3A166465060059%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7r98v-lv43ys5kmfqk5c","EIGER SALVAGE SLIP ON SHOES","975.570","-7%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","93 terjual"
"https://shopee.co.id/EIGER-SERVAL-MID-MEN-SHOES-i.19260065.28608851663?extraParams=%7B%22display_model_id%22%3A148759592253%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7r991-lz9y1ytszqou33","EIGER SERVAL MID MEN SHOES","885.200","-24%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","5.0","969 terjual"
"https://shopee.co.id/EIGER-WS-CHELINE-WOMAN-SHOES-i.19260065.11646946590?extraParams=%7B%22display_model_id%22%3A250750391617%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/7eee9f58cbc7fe1071dab34417a844ec","EIGER WS CHELINE WOMAN SHOES","624.000","-4%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","682 terjual"
"https://shopee.co.id/EIGER-KINKAJOU-PINCH-4.0-SANDALS-i.19260065.18296552416?extraParams=%7B%22display_model_id%22%3A245820513201%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7r992-lv9ujc68kjtf13","EIGER KINKAJOU PINCH 4.0 SANDALS","210.100","-12%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","7RB+ terjual"
"https://shopee.co.id/EIGER-CUSCO-PINCH-SANDALS-i.19260065.29875905804?extraParams=%7B%22display_model_id%22%3A233792708875%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7rash-m64tt3cpwjc802","EIGER CUSCO PINCH SANDALS","224.000","-2%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","2RB+ terjual"
"https://shopee.co.id/EIGER-WS-MARIANNE-SANDALS-i.19260065.23224146290?extraParams=%7B%22display_model_id%22%3A247940461276%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-23020-9s1f48rgqinv56","EIGER WS MARIANNE SANDALS","314.000","-2%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","1RB+ terjual"
"https://shopee.co.id/EIGER-BHARDEV-PINCH-SOLE-BLACK-SANDALS-i.19260065.5681610991?extraParams=%7B%22display_model_id%22%3A24692852158%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-81ztd-menqqlc7h1c0db","EIGER BHARDEV PINCH SOLE BLACK SANDALS","219.100","-12%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","10RB+ terjual"
"https://shopee.co.id/EIGER-WS-FLORENCE-LOW-CUT-WOMAN-SHOES-i.19260065.8173662931?extraParams=%7B%22display_model_id%22%3A157287117607%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7r992-lut1l2hps4ohda","EIGER WS FLORENCE LOW CUT WOMAN SHOES","724.000","-3%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","785 terjual"
"https://shopee.co.id/EIGER-Z-MUIZENBERG-MEN-BP-SANDALS-i.19260065.29671396446?extraParams=%7B%22display_model_id%22%3A119356732058%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7rasg-m4419spgjkay07","EIGER Z- MUIZENBERG MEN BP SANDALS","174.100","-13%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","505 terjual"
"https://shopee.co.id/EIGER-STANLEY-SHOES-i.19260065.13575000110?extraParams=%7B%22display_model_id%22%3A253478005953%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7r98r-lw56x16f0l1p96","EIGER STANLEY SHOES","674.000","-4%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","857 terjual"
"https://shopee.co.id/EIGER-WS-MILOS-PINCH-SANDALS-i.19260065.29459349318?extraParams=%7B%22display_model_id%22%3A178385701971%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7r990-lzhjhjnfaecg85","EIGER WS MILOS PINCH SANDALS","334.000","-1%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","150 terjual"
"https://shopee.co.id/EIGER-WOMEN-PACCHANTA-PINCH-SANDALS-i.19260065.29176530862?extraParams=%7B%22display_model_id%22%3A149021189693%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7rbk3-m6dgt7wf1ybq3b","EIGER WOMEN PACCHANTA PINCH SANDALS","224.000","-2%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","1RB+ terjual"
"https://shopee.co.id/EIGER-KINKAJOU-3.5-SANDALS-i.19260065.23635239687?extraParams=%7B%22display_model_id%22%3A98667100432%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7qul7-lewcwl2qmk3h75","EIGER KINKAJOU 3.5 SANDALS","201.100","-12%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","7RB+ terjual"
"https://shopee.co.id/EIGER-KAVERY-1.0-SHOES-i.19260065.11222268354?extraParams=%7B%22display_model_id%22%3A79442320405%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/00fd5643ec5b469c52adf699aba1df3b","EIGER KAVERY 1.0 SHOES","598.200","-23%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","2RB+ terjual"
"https://shopee.co.id/EIGER-JR-MOORLAND-SLIP-ON-SANDALS-i.19260065.25474733159?extraParams=%7B%22display_model_id%22%3A39763484948%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7r992-lu7aws10vs2e9a","EIGER JR MOORLAND SLIP ON SANDALS","239.300","-31%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.8","166 terjual"
"https://shopee.co.id/EIGER-TOMAHAWK-SANDALS-BLACK-i.19260065.9209617832?extraParams=%7B%22display_model_id%22%3A33322169793%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/58a8099b29cf8279c551c1321ba05d74","EIGER TOMAHAWK SANDALS BLACK","255.100","-12%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","10RB+ terjual"
"https://shopee.co.id/EIGER-SELVA-WS-SANDALS-i.19260065.18777216998?extraParams=%7B%22display_model_id%22%3A176802120291%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7quky-lewaawsdk86c43","EIGER SELVA WS SANDALS","354.240","-4%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","1RB+ terjual"
"https://shopee.co.id/EIGER-PEDAUH-MID-CUT-MEN-SHOES-i.19260065.21993726015?extraParams=%7B%22display_model_id%22%3A148410740838%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7r98t-lmd04sid0s2ne7","EIGER PEDAUH MID CUT MEN SHOES","722.860","-6%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","770 terjual"
"https://shopee.co.id/EIGER-CLIFTON-1.0-LOW-CUT-SHOES-i.19260065.12463024840?extraParams=%7B%22display_model_id%22%3A218829840286%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wt-mno7gmk6z7r7d3","EIGER CLIFTON 1.0 LOW CUT SHOES","595.100","-14%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","5RB+ terjual"
"https://shopee.co.id/EIGER-JR-FINLAND-SHOES-KIDS-i.19260065.28503193459?extraParams=%7B%22display_model_id%22%3A187593117904%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7r98y-lwp41bvy5d978d","EIGER JR FINLAND SHOES KIDS","392.200","-23%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","112 terjual"
"https://shopee.co.id/EIGER-CALDERA-MEN-2.0-ROLL-STRAP-SANDALS-i.19260065.13226190777?extraParams=%7B%22display_model_id%22%3A103028707566%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/e90e238a2e4a48fa22b936bb71044558","EIGER CALDERA MEN 2.0 ROLL STRAP SANDALS","282.100","-12%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","10RB+ terjual"
"https://shopee.co.id/EIGER-VISAYAS-MEN-SANDALS-i.19260065.25320667352?extraParams=%7B%22display_model_id%22%3A118531815275%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7r98v-lt9fobntd4gp11","EIGER VISAYAS MEN SANDALS","156.100","-13%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","5RB+ terjual"
"https://shopee.co.id/EIGER-SERVAL-LOW-MEN-SHOES-i.19260065.26679382517?extraParams=%7B%22display_model_id%22%3A420451862839%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224x-mjnj0gjklf5u95","EIGER SERVAL LOW MEN SHOES","829.200","-25%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","152 terjual"
"https://shopee.co.id/EIGER-BUGLE-2.0-SHOES-i.19260065.24390241589?extraParams=%7B%22display_model_id%22%3A49858274878%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7rasj-m4plgkg9mapm5f","EIGER BUGLE 2.0 SHOES","986.823","-16%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-centralisation/0.1.11/pc/b4d1b8a78b3621dbdf4a.svg","4.9","621 terjual"
